374329,359758
623079,790797
577429,577078
456704,438769
213125,303449
820937,832317
109861,106930
592335,593334
798366,798292
787970,745298
430455,430444
596802,477276
517236,517225
481646,490039
310643,310668
145698,153257
667540,645887
281379,236948
77215,84728
944392,534699
252510,265383
491775,495863
358128,342548
787684,653835
638130,638202
633367,633336
132639,146715
319718,232924
536229,36297
786164,635072
549646,549969
869957,869897
476788,476779
864585,661949
711856,67187
26573,28032
39822,39807
673171,673276
823963,571833
514449,514479
358601,361410
48954,48961
473859,473854
103917,102744
180338,193281
650096,650060
908277,908264
509527,101266
285059,295183
841045,13429
143514,143509
787035,657000
170386,170389
475324,474132
921745,777811
212745,219153
800123,800122
920992,669608
640552,640555
334934,334901
709378,606024
55280,44663
597257,597264
169275,193373
675298,65760
731303,731317
764040,656410
901537,585868
877748,877704
125430,125396
448835,440767
250655,220242
912282,502568
386161,386158
61313,61344
30841,606348
419248,419220
503626,498262
69583,761652
913813,913802
175578,175593
769456,769586
20279,17317
270179,270153
182658,200503
192966,346977
777284,777316
221973,269229
711785,711778
76111,299781
15073,15079
652528,652533
696946,463882
49207,477497
117932,117952
553850,526255
917136,628176
570704,29834
816093,816092
220293,304049
